                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.76791,                0.45053,                 1.0096,                0.96833,                      1,                0.96709,                0.83422,                 0.5661,                0.36665,                0.89371,              0.0010894,              0.0010894,              0.0010894
                     38,                0.78804,                0.46765,                 1.0225,                0.96836,                      1,                0.97759,                0.85588,                0.52641,                0.35365,                0.87477,              0.0010729,              0.0010729,              0.0010729
                     39,                0.79181,                0.45579,                 1.0203,                0.96835,                      1,                0.97988,                0.86748,                0.50448,                0.35619,                0.87003,              0.0010564,              0.0010564,              0.0010564
                     40,                0.80585,                0.46848,                 1.0252,                0.96836,                      1,                0.97043,                0.85553,                0.53581,                 0.3742,                0.88135,              0.0010399,              0.0010399,              0.0010399
                     41,                0.76359,                0.44516,                 1.0117,                0.96836,                      1,                0.98032,                0.85453,                 0.5233,                0.37288,                0.87376,              0.0010234,              0.0010234,              0.0010234
                     42,                0.78012,                0.46543,                 1.0156,                0.96837,                      1,                0.98237,                  0.863,                0.51693,                0.36174,                0.87427,              0.0010069,              0.0010069,              0.0010069
                     43,                0.76419,                0.45425,                 1.0072,                0.96836,                      1,                0.96656,                0.83536,                0.55785,                0.36756,                 0.8897,             0.00099036,             0.00099036,             0.00099036
                     44,                0.75446,                0.43248,                 1.0014,                0.96838,                      1,                0.96875,                0.84689,                0.54373,                0.34063,                 0.8848,             0.00097386,             0.00097386,             0.00097386
                     45,                0.75657,                0.42996,                0.99548,                0.96838,                      1,                 0.9813,                0.85982,                0.54332,                0.35151,                0.88051,             0.00095736,             0.00095736,             0.00095736
                     46,                0.77632,                0.45307,                 1.0011,                0.96839,                      1,                0.97732,                0.84871,                  0.535,                0.33729,                0.87627,             0.00094085,             0.00094085,             0.00094085
                     47,                0.77253,                0.45478,                 1.0099,                0.96838,                      1,                0.96625,                0.84595,                0.52821,                0.33484,                0.87485,             0.00092435,             0.00092435,             0.00092435
                     48,                0.74522,                0.43914,                 1.0044,                0.96839,                      1,                0.96844,                 0.8678,                0.49531,                0.31989,                0.87066,             0.00090785,             0.00090785,             0.00090785
                     49,                0.77332,                0.43012,                 1.0446,                0.96838,                      1,                 0.9678,                  0.853,                0.51714,                0.31886,                0.87397,             0.00089134,             0.00089134,             0.00089134
                     50,                0.74195,                0.44432,                 1.0069,                0.96835,                      1,                 0.9649,                0.85913,                0.48798,                0.33698,                0.86302,             0.00087484,             0.00087484,             0.00087484
                     51,                0.72091,                0.42174,                0.97809,                0.96838,                      1,                0.96391,                0.84743,                0.50517,                0.33778,                0.86164,             0.00085834,             0.00085834,             0.00085834
                     52,                0.76149,                0.42604,                 1.0134,                0.96836,                      1,                0.96575,                0.85398,                0.51162,                0.33744,                0.86749,             0.00084184,             0.00084184,             0.00084184
                     53,                0.73185,                0.43353,                 0.9948,                0.96834,                      1,                0.96438,                 0.8594,                0.49464,                0.34829,                0.86658,             0.00082533,             0.00082533,             0.00082533
                     54,                0.75418,                0.43573,                 1.0201,                 0.9683,                      1,                0.97481,                0.85801,                0.52281,                0.33788,                0.87549,             0.00080883,             0.00080883,             0.00080883
                     55,                0.72918,                 0.4204,                0.98581,                0.96823,                      1,                0.96438,                0.84693,                0.50964,                0.33487,                0.86873,             0.00079233,             0.00079233,             0.00079233
                     56,                0.75183,                0.43861,                0.99786,                0.96832,                      1,                0.96438,                0.84949,                0.52139,                0.31839,                0.87077,             0.00077582,             0.00077582,             0.00077582
                     57,                0.72027,                0.42985,                 0.9894,                0.96833,                      1,                0.96563,                0.85188,                0.51861,                 0.3233,                 0.8706,             0.00075932,             0.00075932,             0.00075932
                     58,                0.75626,                0.42726,                 1.0227,                0.96837,                      1,                0.97877,                0.86731,                0.49836,                0.30748,                0.86809,             0.00074282,             0.00074282,             0.00074282
                     59,                0.70866,                0.41664,                0.99192,                0.96839,                      1,                0.96601,                0.85544,                 0.5088,                0.30519,                0.87305,             0.00072631,             0.00072631,             0.00072631
